STN_ID,LON,LAT,STN_SP,HT,AD,STN_KO,STN_EN,FCT_ID
21229,131.11440000,37.45540000,34000000,0.00,143,울릉도,Ulleungdo,12C20000
22101,126.01880000,37.23610000,24000000,0.00,112,덕적도,Deokjeokdo,12A20000
22102,125.77690000,34.79330000,24000000,0.00,165,칠발도,Chilbaldo,12A30000
22103,127.50140000,34.00140000,24000000,0.00,156,거문도,Geomundo,12B10000
22104,128.90000000,34.76670000,24000000,0.00,159,거제도,Geojedo,12B20000
22105,130.00000000,37.54420000,34000000,0.00,105,동해,Donghae,12C20000
22106,129.78330000,36.35000000,34000000,0.00,143,포항,Pohang,12C10000
22107,126.03330000,33.08330000,34000000,0.00,184,마라도,Marado,12B10500
22108,125.75000000,36.25000000,24000000,0.00,133,외연도,Oeyeondo,12A20000
22183,126.24170000,34.73330000,24000000,0.00,165,신안,Shinan,12A30000
22184,126.14110000,33.79361000,24000000,0.00,184,추자도,Chujado,12B10000
22185,125.42890000,37.09170000,24000000,0.00,112,인천,Incheon,12A20000
22186,125.81390000,35.65860000,24000000,0.00,146,부안,Buan,12A30000
22187,127.02280000,33.12810000,34000000,0.00,184,서귀포,Seogwipo,12B10500
22188,128.22500000,34.39170000,24000000,0.00,159,통영,Tongyeong,12B20000
22189,129.84140000,35.34530000,34000000,0.00,152,울산,Ulsan,12C10000
22190,129.87440000,36.90690000,34000000,0.00,143,울진,Uljin,12C10000
22191,124.05694000,36.13333000,44000000,0.00,133,서해170,KOB170,12A20000
22192,123.26250000,34.00000000,44000000,0.00,156,서해206,KOB206,12A30000
22297,125.21472200,34.02750000,24000000,0.00,156,가거도,Gageodo,12A30000
22298,125.24555600,34.74666700,24000000,0.00,156,홍도,Hongdo,12A30000
22299,124.13000000,35.00000000,44000000,0.00,156,서해190,KOB190,12A30000
22300,124.73000000,32.83000000,44000000,0.00,184,남해239,KOB239,12B10500
22301,126.40000000,31.66666700,44000000,0.00,184,남해465,KOB465,12B10500
22302,130.51666700,36.96666700,44000000,0.00,143,동해78,KOB78,12C10000
22303,126.41000000,37.15833000,24000000,0.00,109,풍도,Pungdo,12A20000
22306,129.10070000,35.08550000,10000000,0.00,0,해운대,HAEU,
22308,126.45520000,36.27970000,10000000,0.00,0,대천,DAEC,
22309,126.40960000,33.23370000,10000000,0.00,0,중문,JMBE,
22310,128.93170000,37.80895000,10000000,0.00,0,경포대,GYEONGPO,
22311,129.21574000,35.16200060,10000000,0.00,0,송정,SJBE,
22312,128.65055600,38.12250000,10000000,0.00,0,낙산,NSBE,
22401,123.00196000,35.14294000,20000000,0.00,0,황해부이,YellowSea,
22402,124.51020000,35.42708000,20000000,0.00,0,황해중부,YSB01A,
22403,124.09400000,32.88533000,20000000,0.00,0,동중국해,YSB02A,
22404,126.27690000,32.05239000,20000000,0.00,0,제주남부,YSB03A,
